2026/08/15 03:04:11 [KEYPRESS] Key: 'up' | Screen: file_picker
2026/08/15 03:04:11 [KEYPRESS] Key: 'up' | Screen: file_picker
2026/08/15 03:04:11 [KEYPRESS] Key: 'up' | Screen: file_picker
2026/08/15 03:04:12 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:12 [KEYPRESS] Key: 'enter' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:26 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:27 [KEYPRESS] Key: 'enter' | Screen: file_picker
2026/08/15 03:04:27 [ACTION] DOCUMENT_PROCESS - Processed and exported to: local/scandoc/output/Screenshot from 2026-08-15 01-43-28.png
2026/08/15 03:04:30 [KEYPRESS] Key: 'left' | Screen: processing
2026/08/15 03:04:31 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 03:04:32 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 03:04:32 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 03:04:33 [KEYPRESS] Key: 'enter' | Screen: processing
2026/08/15 03:04:34 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 03:04:35 [KEYPRESS] Key: 'enter' | Screen: document_inspector
2026/08/15 03:04:37 [KEYPRESS] Key: 'up' | Screen: document_inspector
2026/08/15 03:04:37 [KEYPRESS] Key: 'up' | Screen: document_inspector
2026/08/15 03:04:44 [KEYPRESS] Key: 'right' | Screen: document_inspector
2026/08/15 03:04:49 [KEYPRESS] Key: 'left' | Screen: document_inspector
2026/08/15 03:04:50 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 03:04:51 [KEYPRESS] Key: 'enter' | Screen: document_inspector
2026/08/15 03:04:52 [KEYPRESS] Key: 'down' | Screen: export
2026/08/15 03:04:53 [KEYPRESS] Key: 'enter' | Screen: export
2026/08/15 03:04:55 [KEYPRESS] Key: 'up' | Screen: export
2026/08/15 03:04:58 [KEYPRESS] Key: 'down' | Screen: export
2026/08/15 03:04:58 [KEYPRESS] Key: 'down' | Screen: export
2026/08/15 03:04:59 [KEYPRESS] Key: 'down' | Screen: export
2026/08/15 03:05:02 [KEYPRESS] Key: 'enter' | Screen: export
2026/08/15 03:05:04 [KEYPRESS] Key: 'esc' | Screen: export
2026/08/15 03:05:10 [KEYPRESS] Key: 'left' | Screen: home
2026/08/15 03:05:10 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:05:11 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:05:12 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 03:05:13 [KEYPRESS] Key: 'left' | Screen: pipeline_config
2026/08/15 03:05:58 [KEYPRESS] Key: '`' | Screen: pipeline_config
2026/08/15 03:05:59 [KEYPRESS] Key: 'esc' | Screen: pipeline_config
2026/08/15 03:05:59 [KEYPRESS] Key: 'esc' | Screen: pipeline_config
2026/08/15 03:08:21 [KEYPRESS] Key: 'esc' | Screen: pipeline_config
2026/08/15 03:08:23 [KEYPRESS] Key: 'esc' | Screen: pipeline_config
2026/08/15 03:08:23 [KEYPRESS] Key: 'q' | Screen: pipeline_config
2026/08/15 03:08:23 [ACTION] APP_EXIT - scanDOC TUI exited cleanly
2026/08/15 04:41:31 [ACTION] APP_START - scanDOC TUI started
